unfreeze_percentage,cnn_unlock_epoch,zoom_range,optimizer,num_dense_units_2,run_name,num_dense_units_1,base_model,num_dense_layers,activation,height_shift_range,final_val_error,width_shift_range,batch_size,cnn_learning_rate,rotation_range,num_dense_units_0,learning_rate
0.1,20,0.1497256672944101,RMSProp,1024,run_2018-02-08-010020_,1024,MobileNet,3,relu,0.23689813426781886,0.7706421999209518,0.08980045348920065,16,0.0001,29,1024,0.001
0.1,20,0.13075701221358105,RMSProp,1024,run_2018-02-08-004629_,1024,MobileNet,3,relu,0.12759064479366153,0.8348623846375613,0.22194622250620433,16,0.0001,12,1024,0.001
0.1,20,0.21855960362433277,RMSProp,1024,run_2018-02-08-004908_,1024,MobileNet,3,relu,0.024942754460884665,0.8165137595539793,0.28217186188013377,16,0.0001,5,1024,0.001
0.1,20,0.16496269494696186,RMSProp,1024,run_2018-02-08-011459_,1024,MobileNet,3,relu,0.13877144139184458,0.8623853211009174,0.10083097669468628,16,0.0001,15,1024,0.001
0.1,20,0.16496269494696186,RMSProp,1024,run_2018-02-08-010907_,1024,MobileNet,3,relu,0.13877144139184458,0.8990825684655697,0.10083097669468628,16,0.0001,15,1024,0.001
0.1,20,0.24056903824058942,RMSProp,1024,run_2018-02-08-005830_,1024,MobileNet,3,relu,0.1903141707539142,0.8715596326857532,0.06472760991621708,16,0.0001,30,1024,0.001
0.1,20,0.2799590289383146,RMSProp,1024,run_2018-02-08-005233_,1024,MobileNet,3,relu,0.022978751597359702,0.8715596323439834,0.23706106175215358,16,0.0001,2,1024,0.001
0.1,20,0.14604595299010933,RMSProp,1024,run_2018-02-08-015612_,1024,MobileNet,3,relu,0.03370662892419178,0.9174311923187807,0.25414963791702083,16,0.0001,1,1024,0.001
0.1,20,0.07133963455357488,RMSProp,1024,run_2018-02-08-010422_,1024,MobileNet,3,relu,0.20070872806094653,0.9082568803921752,0.17757964774448404,16,0.0001,21,1024,0.001
0.1,20,0.1907236129995493,RMSProp,1024,run_2018-02-08-010214_,1024,MobileNet,3,relu,0.2821577384693597,0.908256880733945,0.2671708557743475,16,0.0001,12,1024,0.001
0.1,20,0.2896801640408217,RMSProp,1024,run_2018-02-08-022434_,1024,MobileNet,3,relu,0.04757545668121786,0.9082568800504054,0.18125668392970537,16,0.0001,18,1024,0.001
0.1,20,0.07220031423690366,RMSProp,1024,run_2018-02-08-005737_,1024,MobileNet,3,relu,0.0718370298945849,0.8532110072604013,0.08494280579182951,16,0.0001,29,1024,0.001
0.1,20,0.21168293220831175,RMSProp,1024,run_2018-02-08-004214_,1024,MobileNet,3,relu,0.22216661977178187,0.9082568800504054,0.016220300100658603,16,0.0001,4,1024,0.001
0.1,20,0.16496269494696186,RMSProp,1024,run_2018-02-08-010453_,1024,MobileNet,3,relu,0.13877144139184458,0.8715596311136123,0.10083097669468628,16,0.0001,15,1024,0.001
0.1,20,0.10692246933012882,RMSProp,1024,run_2018-02-08-004347_,1024,MobileNet,3,relu,0.058434386687378465,0.9082568788200344,0.09876060886821246,16,0.0001,21,1024,0.001
0.1,20,0.21855960362433277,RMSProp,1024,run_2018-02-08-005356_,1024,MobileNet,3,relu,0.024942754460884665,0.8807339442705889,0.28217186188013377,16,0.0001,5,1024,0.001
0.1,20,0.21079464215647106,RMSProp,1024,run_2018-02-08-004321_,1024,MobileNet,3,relu,0.1146762964738069,0.8899082568807339,0.024401638478138078,16,0.0001,15,1024,0.001
0.1,20,0.27117514352351024,RMSProp,1024,run_2018-02-08-013230_,1024,MobileNet,3,relu,0.15895987862901878,0.9082568800504054,0.0014098664111166892,16,0.0001,21,1024,0.001
0.1,20,0.07175380751463886,RMSProp,1024,run_2018-02-08-020228_,1024,MobileNet,3,relu,0.14768346135637525,0.33027522717047175,0.0598364384924379,16,0.0001,3,1024,0.001
0.1,20,0.27273588267318444,RMSProp,1024,run_2018-02-08-021034_,1024,MobileNet,3,relu,0.2954868630091754,0.8715596316604439,0.17399761473223116,16,0.0001,24,1024,0.001
0.1,20,0.0597011988769538,RMSProp,1024,run_2018-02-08-012043_,1024,MobileNet,3,relu,0.058369378632855226,0.8623853207591476,0.2746186352351939,16,0.0001,27,1024,0.001
0.1,20,0.19582354903565707,RMSProp,1024,run_2018-02-08-012937_,1024,MobileNet,3,relu,0.1537466174425027,0.8807339430402178,0.13811795248730227,16,0.0001,16,1024,0.001
0.1,20,0.14832297715311096,RMSProp,1024,run_2018-02-08-004404_,1024,MobileNet,3,relu,0.2544005280258194,0.926605504587156,0.213553455803727,16,0.0001,6,1024,0.001
0.1,20,0.2786909173940617,RMSProp,1024,run_2018-02-08-004222_,1024,MobileNet,3,relu,0.012488664018048523,0.8165137595539793,0.10152767679533303,16,0.0001,7,1024,0.001
0.1,20,0.1097982373255761,RMSProp,1024,run_2018-02-08-014005_,1024,MobileNet,3,relu,0.021598268442540203,0.5229357770823557,0.29666904555799756,16,0.0001,6,1024,0.001
0.1,20,0.026621112776491818,RMSProp,1024,run_2018-02-08-004739_,1024,MobileNet,3,relu,0.2755715004460714,0.926605504587156,0.041511308417320446,16,0.0001,8,1024,0.001
0.1,20,0.09606305353348484,RMSProp,1024,run_2018-02-08-011901_,1024,MobileNet,3,relu,0.003836891743148274,0.9082568803921752,0.1344364767237984,16,0.0001,19,1024,0.001
0.1,20,0.2636489132563511,RMSProp,1024,run_2018-02-08-014911_,1024,MobileNet,3,relu,0.08390487166594557,0.8715596311136123,0.12150281358349073,16,0.0001,7,1024,0.001
0.1,20,0.2799590289383146,RMSProp,1024,run_2018-02-08-004720_,1024,MobileNet,3,relu,0.022978751597359702,0.8899082561971945,0.23706106175215358,16,0.0001,2,1024,0.001
0.1,20,0.07133963455357488,RMSProp,1024,run_2018-02-08-005157_,1024,MobileNet,3,relu,0.20070872806094653,0.8256880727109559,0.17757964774448404,16,0.0001,21,1024,0.001
0.1,20,0.1554912340457438,RMSProp,1024,run_2018-02-08-005813_,1024,MobileNet,3,relu,0.055980105879955895,0.7064220169815448,0.27140720440487426,16,0.0001,18,1024,0.001
0.1,20,0.18153646506556478,RMSProp,1024,run_2018-02-08-015908_,1024,MobileNet,3,relu,0.06975385186860898,0.9266055042453862,0.24232018107719944,16,0.0001,10,1024,0.001
0.1,20,0.18153646506556478,RMSProp,1024,run_2018-02-08-015408_,1024,MobileNet,3,relu,0.06975385186860898,0.8532110084907725,0.24232018107719944,16,0.0001,10,1024,0.001
0.1,20,0.1497256672944101,RMSProp,1024,run_2018-02-08-010629_,1024,MobileNet,3,relu,0.23689813426781886,0.9082568803921752,0.08980045348920065,16,0.0001,29,1024,0.001
0.1,20,0.10406673971259911,RMSProp,1024,run_2018-02-08-005122_,1024,MobileNet,3,relu,0.16281275623599978,0.7889908250045339,0.2554856560959731,16,0.0001,28,1024,0.001
0.1,20,0.12504350520228397,RMSProp,1024,run_2018-02-08-015006_,1024,MobileNet,3,relu,0.16745226034218497,0.8623853204173779,0.17353370372908675,16,0.0001,26,1024,0.001
0.1,20,0.07054688775128078,RMSProp,1024,run_2018-02-08-012430_,1024,MobileNet,3,relu,0.1814829523522835,0.8440366953337958,0.20384039339975438,16,0.0001,26,1024,0.001
0.1,20,0.16493330669384715,RMSProp,1024,run_2018-02-08-004529_,1024,MobileNet,3,relu,0.16632257602954048,0.8440366969059366,0.19050909046821804,16,0.0001,19,1024,0.001
0.1,20,0.17986270028042384,RMSProp,1024,run_2018-02-08-005444_,1024,MobileNet,3,relu,0.2982115775892399,0.8532110084907725,0.27297895970233527,16,0.0001,2,1024,0.001
0.1,20,0.0544680054724625,RMSProp,1024,run_2018-02-08-015439_,1024,MobileNet,3,relu,0.27893676781022136,0.8532110088325422,0.24958509857374458,16,0.0001,18,1024,0.001
