hyperband_incumbent_trajectory
0.90625
0.890625
0.84375
0.75
0.6875
0.65625
0.625
0.6146788971686582
0.5625
0.453125
0.4311926578163007
0.35779815638830903
0.32110091415020303
0.2844036669906126
0.2201834840512057
0.11688310604590879
0.11688310604590879
