rotation_range,activation,cnn_unlock_epoch,base_model,num_dense_units_0,learning_rate,final_val_error,zoom_range,batch_size,height_shift_range,optimizer,epochs,cnn_learning_rate,run_name,width_shift_range,num_dense_layers,num_dense_units_1,unfreeze_percentage
24,tanh,10,Xception,159,0.0005618056923890776,0.75,0.273,48,0.267,Adam,2,0.00010299135666647601,run_2018-02-08-133817_,0.013,2,53,0.12378679667693099
24,relu,27,MobileNet,427,0.0010192003596035026,0.35064934523074653,0.273,22,0.267,RMSProp,32,5.93659901713247e-05,run_2018-02-08-145935_,0.013,3,245,0.05015390769595599
24,relu,15,ResNet50,111,0.0002603793701118468,0.859375,0.273,28,0.267,Adam,1,3.69461656985025e-05,run_2018-02-08-132517_,0.013,2,151,0.027779328620668873
24,tanh,29,Xception,288,0.0008316085126480701,0.48051947510087645,0.273,22,0.267,RMSProp,8,8.231586126347911e-05,run_2018-02-08-142356_,0.013,3,410,0.21998130902293425
24,tanh,27,InceptionResNetV2,100,0.000196316894784971,0.578125,0.273,38,0.267,RMSProp,16,5.4346436903413856e-05,run_2018-02-08-145419_,0.013,3,161,0.08717978237230432
24,relu,11,MobileNet,713,0.004261161187545934,0.90625,0.273,45,0.267,RMSProp,1,3.476681942645092e-05,run_2018-02-08-132802_,0.013,2,62,0.2083205686352454
24,tanh,20,MobileNet,340,0.00015696215844388002,0.4587155886746328,0.273,17,0.267,RMSProp,4,3.608531416092223e-05,run_2018-02-08-134455_,0.013,3,117,0.023079139071074204
24,tanh,18,Xception,502,0.00045501478271130826,0.5625,0.273,35,0.267,RMSProp,2,0.00012099864328030101,run_2018-02-08-133141_,0.013,3,97,0.0058493838712906365
24,relu,25,Xception,132,0.0003693203828143039,0.8571428544335551,0.273,22,0.267,RMSProp,2,0.00039223277930003076,run_2018-02-08-133049_,0.013,2,150,0.10900765194925684
24,relu,14,InceptionResNetV2,649,0.0003018497801749079,0.796875,0.273,26,0.267,RMSProp,4,0.00012108085836350304,run_2018-02-08-142130_,0.013,2,391,0.14391620082304496
24,tanh,11,InceptionResNetV2,233,0.00023354944563865797,0.84375,0.273,39,0.267,RMSProp,2,0.0004317622731304309,run_2018-02-08-141530_,0.013,3,264,0.06200883009933965
